doi,title,year,why,verified
,"Helical microtubules of graphitic carbon",1991,"Seminal — descubrimiento de los nanotubos (Iijima, Nature). VERIFICAR cita completa y DOI",FALSE
,"Theoretical studies of icosahedral C60 and some related species",1986,"Seminal — origen del defecto de Stone-Wales (Chem Phys Lett). VERIFICAR cita completa y DOI",FALSE
,,,"Primera síntesis reportada de CNT dopados con nitrógeno — RELLENAR",FALSE
,,,"Primera síntesis reportada de CNT dopados con boro — RELLENAR",FALSE
,,,"Primer cálculo DFT de energía de formación de vacantes en CNT — RELLENAR",FALSE
,,,"Electrocatálisis ORR libre de metal sobre CNT dopados con N (alrededor de 2009) — RELLENAR",FALSE
,,,"Dopaje con fósforo en nanocarbono 1D — RELLENAR",FALSE
,,,"Co-dopaje N,S en nanofibras de carbono — RELLENAR",FALSE
,,,"Esponja o aerogel de CNT dopado — RELLENAR",FALSE
,,,"Bosque de CNT alineados verticalmente y dopados (VACNT) — RELLENAR",FALSE
,,,"Fibra o hilo macroscópico de CNT con defectos caracterizados — RELLENAR",FALSE
,,,"Buckypaper dopado — RELLENAR",FALSE
,,,"Defectos inducidos por irradiación iónica en CNT — RELLENAR",FALSE
,,,"Fronteras de grano o junturas Y en redes de CNT — RELLENAR",FALSE
,,,"Deconvolución XPS N 1s piridínico/pirrólico/grafítico de referencia — RELLENAR",FALSE
,,,"Transporte NEGF en CNT dopado — RELLENAR",FALSE
,,,"Potencial de machine learning aplicado a nanocarbono con defectos — RELLENAR",FALSE
,,,"Catalizador de átomo único sobre CNT dopado con N — RELLENAR",FALSE
,,,"Revisión previa del tema, la más citada que conozcas — RELLENAR",FALSE
,,,"Un artículo de tu propio grupo que DEBE aparecer — RELLENAR",FALSE
